denominazione,tipologia,ente,tip_amministrativa,indirizzo,frazione,cap,telefono,fax,email,sito_web,Latitudine,Longitudine
Biblioteca comunale De.Di.Del.,Pubblica,Comune di Cusano Mutri,Comune,"via Ariella, 100",Civitella Licinio,82033.0,,,cusanom@tin.it,,41.3100728,14.5264551
Biblioteca scolastica del I circolo didattico,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,Via Port'Arsa,,82100.0,+39 082424461,,,,41.1306935,14.7703515
Biblioteca dell'Istituto comprensivo San Pio di Pietrelcina,NON SPECIFICATA,0,NON SPECIFICATA,"Via Cappuccini, 114",,82020.0,+39 0824991221,+39 0824991248,bnee027004@istruzione.it,http://www.istitutocomprensivopietrelcina.it/?l=it,41.19682,14.84292
Biblioteca Fondazione Ciccio Romano,NON SPECIFICATA,0,NON SPECIFICATA,C.da Monte Guardie s.n.c.,,82100.0,+39 0824381561,+39 082424641,antoniobrunoromano@alice.it,,41.0822499,14.7932428
Biblioteca Don Giuseppe Fina,NON SPECIFICATA,0,NON SPECIFICATA,"Piazza Madonna di Fatima, 1",,82020.0,+39 0824983943,+39 0824983943,bibliotecafina@alice.it,,41.2702039,14.9219205
Biblioteca del Museo civico E. Sannia,NON SPECIFICATA,0,NON SPECIFICATA,Via E. Sannia,,82026.0,,,,,41.3409204,14.6630106
Biblioteca dell'Istituto tecnico commerciale S. Rampone,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,"Via Carlo Stasi, 1",,82100.0,+39 082425984,+39 082422331,bntd5000c@istruzione.it,http://www.istitutorampone.net,41.1405822,14.767017
Biblioteca Associazione Pro Loco Apollosa,Pubblica,Associazione pro loco di Apollosa,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Piazza Pasquale Saponaro 38,,82030.0,+39 082444029,+39 082444029,bil@apollosa.com,http://bil.apollosa.com,41.0935168,14.7001197
Biblioteca Telesi@ - Istituto d'Istruzione superiore Telesi@,NON SPECIFICATA,0,NON SPECIFICATA,Viale Minieri 9,,82037.0,+39 0824976196,,bnis00200t@istruzione.it,www.iistelese.it,41.2127858,14.5261762
Biblioteca S. Gabriele Arcangelo,Pubblica,Ente Morale Provincia Addolorata Passionisti,Enti ecclesiastici,Via Monteoliveto,,82011.0,+39 0823712087,+39 0823712087,passcomp@libero.it,www.passionisti.org,41.063842,14.5558084
Biblioteca Liguri Bebiani dell'Associazione turistica Pro-Loco,NON SPECIFICATA,0,NON SPECIFICATA,Contrada Pincere,,82020.0,,,circello@unplibenevento.it,,41.3519202,14.810263
Biblioteca comunale Tonino Cardo,NON SPECIFICATA,0,NON SPECIFICATA,"Via Pescogrosso, 1",,82020.0,+39 0824937201,+39 0824937287,comunedicircello@tin.it,,41.3583825,14.8091002
Biblioteca dell'Associazione turistica Pro-Loco,Pubblica,Pro Loco di Sant'Arcangelo Trimonte,"Accademie, associazioni, fondazioni, istituti (pubblici)","Via Sopra Castello, 8",,82021.0,+39 0824923211,+39 0824923211,santarcangelotrimonte@unplibenevento.it,www.prolocosantarcangelotrimonte.it,41.163866,14.9381649
Biblioteca della Fondazione Gerardino Romano,Pubblica,Fondazione Gerardino Romano,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Piazzetta G.Romano n.15,,82037.0,+39 0824941877,+39 0824941877,info@fondazioneromano.it,www.fondazioneromano.it,41.2162365,14.5218834
Biblioteca scolastica Tempolibro dell'Istituto comprensivo 2 - plesso Ugo Foscolo,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Presidenza del consiglio dei ministri e ministeri,"Via Vitulanese, 48",,82016.0,+39 0824 834094,+39 0824 834094,bibliotecatempolibro@gmail.com,http://www.ic2montesarchio.gov.it/index.php/biblioteca,41.0630949,14.643405
Biblioteca comunale Amico Libro,Pubblica,Comune di Montesarchio,Comune,piazza Umberto I,,82016.0,+39 0824/840670,,biblioteca@comune.montesarchio.bn.it,,41.0649893,14.6396182999999
Biblioteca comunale,Pubblica,Comune di Anzola dell'Emilia,Comune,Piazza Giovanni XXIII,,40011.0,+39 0516502222,+39 0516502223,biblioteca@anzola.provincia.bologna.it,http://www.bibliotecanzola.it/,44.5469884,11.1934419
Biblioteca comunale di Funo,Pubblica,Comune di Argelato,Comune,Via don Pasti 80,Funo,40050.0,+39 0516646430,+39 0516646430,biblioteca.funo@argelato.provincia.bo.it,,44.5889136,11.3663085
Biblioteca comunale Antonio Gramsci,Pubblica,Comune di Baricella,Comune,Via Europa 3,,40052.0,+39 051879305,+39 051873117,biblioteca@comune.baricella.bo.it,http://www.comune.baricella.bo.it,44.644915,11.533575
Biblioteca comunale Emanuel Carnevali di Bazzano,Pubblica,Comune di Valsamoggia,Comune,Via Ripa del Rivellino 6,,40053.0,+39 051831183,+39 051836440,biblioteca@bazzano.provincia.bologna.it,http://www.comune.valsamoggia.bo.it/,44.5044237,11.0833445
Biblioteca comunale,Pubblica,Comune di Bentivoglio,Comune,Via Marconi 5,,40010.0,+39 0516640400,+39 0516640803,biblio_bentivoglio@libero.it,http://www.comune.bentivoglio.bo.it/servizi/menu/dinamica.aspx?idArea=2109&idCat=2114&ID=2136,44.6349034,11.4208069
Biblioteca di ingegneria  Gian Paolo Dore - Alma Mater Studiorum Università di Bologna,Istituto di insegnamento superiore,Alma Mater Studiorum Università di Bologna - Facoltà di Ingegneria,Universita' statali,Viale Risorgimento 2,,40136.0,+39 0512093744,+39 0512093742,,,44.4882503,11.3282958
Biblioteca Giuridica Antonio Cicu - Alma Mater Studiorum - Università di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di scienze giuridiche Antonio Cicu,Universita' statali,Via Zamboni 27/29,,40126.0,+39 0512099626,+39 0512099624,dipscgiur.biblioteca@unibo.it,http://www.giuridico.unibo.it,44.4965979,11.3515468
Biblioteca dell'Istituto di applicazione forense Enrico Redenti della Facoltà di giurisprudenza dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Facoltà di giurisprudenza. Istituto di applicazione forense Enrico Redenti,Universita' statali,Via Belmeloro 12,,40126.0,+39 0512094035,+39 0512094045,redenti@cib.unibo.it,http://137.204.237.100/redenti,44.495048,11.3559202
Biblioteca del Dipartimento di architettura e pianificazione territoriale - DAPT dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di architettura e pianificazione territoriale - DAPT,Universita' statali,Viale Risorgimento 2,,40136.0,+39 0512093132,+39 0512093156,raffaella.inglese@unibo.it,http://www.dapt.unibo.it/DAPT/Biblioteca/Servizi+e+regolamento/default.htm,44.4882503,11.3282958
Biblioteca del Dipartimento di archeologia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di archeologia,Universita' statali,Piazza S. Giovanni in Monte 2,,40121.0,+39 0512097700,+39 0516457701,,http://www2.unibo.it/archeologia,44.4909205,11.3483657
Biblioteca di Anatomia umana normale del Dipartimento di scienze anatomiche umane e fisiopatologia dell'apparato locomotore dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Facoltà di medicina e chirurgia. Unità complessa di scienze anatomiche umane e fisiopatologia dell'apparato locomotore,Universita' statali,Via Irnerio 48,,40126.0,+39 051243369,+39 0512091637,,http://www.dipscienzeanatomiche.unibo.it/home.html,44.4985616,11.3550145
Biblioteca del Dipartimento di morfofisiologia veterinaria e produzioni animali. Fondo librario della Sezione di anatomia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di morfofisiologia veterinaria e produzioni animali,Universita' statali,Via Tolara di Sopra 50,,40064.0,+39 051792999,+39 051792956,,,44.4346791,11.4867431
Biblioteca di agronomia del Dipartimento di scienze e tecnologie agroambientali - DiSTA dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di scienze e tecnologie agroambientali - DiSTA,Universita' statali,Via Filippo Re 6/8,,40126.0,+39 0512091547,+39 0512091511,varricchio@mail.cib.unibo.it,http://www.agrsci.unibo.it/agro/biblio.htlm,44.4995282,11.3546173
Biblioteca dell'Unità complessa di ostetricia e ginecologia Pasquale Sfameni della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Facoltà di medicina e chirurgia. Unità complessa di ostetricia e ginecologia Pasquale Sfameni,Universita' statali,Via Massarenti 13,,40138.0,+39 0516364365,+39 051341994,bib.gin@med.unibo.it,,44.4921778,11.3647783
Biblioteca del Dipartimento di Scienze Odontostomatologiche dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di Scienze Odontostomatologiche,Universita' statali,Via S. Vitale 59,,40125.0,+39 051278011,+39 051225208,,,44.4940413,11.3542363
Biblioteca di clinica pediatrica dell'Unità complessa di Istituti di scienze pediatriche mediche e chirurgiche della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Facoltà di medicina e chirurgia. Unità complessa di istituti di scienze pediatriche mediche e chirurgiche,Universita' statali,Via Massarenti 11,,40138.0,+39 051308939,+39 051341798,,,44.4926723,11.3621147
Biblioteca del Dipartimento di scienze chirurgiche e anestesiologiche. Sezione di clinica otorinolaringologica dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di scienze chirurgiche e anestesiologiche,Universita' statali,Via Massarenti 9,,40138.0,+39 0516363266,+39 0516363525,,,44.4930011,11.3608254
Biblioteca del Dipartimento di economia e ingegneria agrarie. Sezione di economia e politica agraria dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di economia e ingegneria agrarie,Universita' statali,Via Filippo Re 10,,40126.0,+39 0512091590,+39 051248832,nicastro@cib.unibo.it,http://www.agrsci.unibo.it/deiagra/biblioteca.html,44.4995282,11.3546173
Biblioteca Universitaria,Pubblica,Ministero dei beni e delle attività culturali e del turismo - Università degli studi di Bologna,Direzione Generale Biblioteche e Istituti Culturali,Via Zamboni 35,,40126.0,+39 0512088300,+39 0512088385,informazioni@bub.unibo.it,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Angelo Manaresi del Dipartimento di colture arboree dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di colture arboree,Universita' statali,Via Filippo Re 6,,40126.0,+39 0512091507,+39 0512091500,giannotti@cib.unibo.it,http://www.agrsci.unibo.it/dcabo/biblio.html,44.4995282,11.3546173
Biblioteca dell'Istituto di Costruzioni Idrauliche. Facolta' di Ingegneria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Risorgimento 2,,40136.0,,,,,44.4882503,11.3282958
Biblioteca dell'Istituto di Trasporti. Facolta' di Ingegneria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Risorgimento 2,,40136.0,,,,,44.4882503,11.3282958
Biblioteca dell'Istituto di Tecnica delle Costruzioni. Facolta' di Ingegneria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Risorgimento 2,,40136.0,,,,,44.4882503,11.3282958
"Biblioteca dell'Istituto di Costruzione di Strade, Ferrovie ed Aeroporti. Facolta' di Ingegneria. Universita' degli Studi di Bologna",NON SPECIFICATA,0,NON SPECIFICATA,Viale Risorgimento 2,,40136.0,,,,,44.4882503,11.3282958
Biblioteca dell'Istituto di Patologia Speciale e Clinica Medica Veterinaria.facolta' di Medicina Veterinaria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Filopanti 5,,40126.0,,,,,44.4965847,11.3566656
Biblioteca dell'Istituto di Patologia Speciale Medica e Metodologia Clinica.facolta' di Medicina e Chirurgia. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Via Massarenti 9,,40138.0,,,,,44.4930011,11.3608254
"Biblioteca del Dipartimento di sanità pubblica, veterinaria e patologia animale. Fondo librario di patologia generale e anatomia patologica veterinaria dell'Università degli studi di Bologna",Istituto di insegnamento superiore,"Università degli studi di Bologna. Dipartimento di sanità pubblica, veterinaria e patologia animale",Universita' statali,Via Tolara di Sopra 50,,40064.0,+39 051792779,+39 051792751,,,44.4346791,11.4867431
Biblioteca dell'Istituto di Ostetricia e Ginecologia Veterinaria. Facolta' di Medicina Veterinaria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Filopanti 7,,40126.0,,,,,44.495889,11.3567449
Biblioteca del Dipartimento di medicina clinica specialistica e sperimentale. Fondo librario dell'Istituto di microbiologia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di medicina clinica specialistica e sperimentale,Universita' statali,Via Massarenti 9,,40138.0,+39 051302435,+39 051308888,,,44.4930011,11.3608254
Biblioteca dell'Istituto di Malattie Infettive Profilassi e Polizia Veterinaria. Facolta' di Medicina Veterinaria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Via S. Giacomo 9/2,,40126.0,,,,,44.4966726,11.3547469
Biblioteca dell'Istituto di istologia e embriologia generale della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Facoltà di medicina e chirurgia. Istituto di istologia ed embriologia generale,Universita' statali,Via Belmeloro 8,,40126.0,+39 051354124,+39 051354110,,,44.4954949,11.354152
Biblioteca dell'Istituto di Impianti Meccanici e Macchine Speciali. Facolta'Di Ingegneria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Risorgimento 2,,40136.0,,,,,44.4882503,11.3282958
Biblioteca dell'Istituto di Idraulica. Facolta' di Ingegneria. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Viale Risorgimento 2,,40136.0,,,,,44.4882503,11.3282958
Biblioteca dell'Istituto di Glottologia - Sezione Orientalistica. Facolta' di Lettere e Filosofia. Universita' degli Studi di Bologna,NON SPECIFICATA,0,NON SPECIFICATA,Via Valdonica 1,,40126.0,,,,,44.4956883,11.3476136
Fondo librario di Fisiologia. Dipartimento di Scienze biomediche e neuromotorie - DIBINEM,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di fisiologia umana e generale,Universita' statali,Piazza Porta S. Donato 2,,40127.0,+39 051243026,+39 051251731,zanetti@cib.unibo.it,http://www.unibo.it/fisiologia-umana/files/biblioteca.html,44.4984365,11.3560136
Biblioteca del Dipartimento di ingegneria energetica nucleare e del controllo ambientale dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di ingegneria energetica nucleare e del controllo ambientale,Universita' statali,Viale Risorgimento 2,,40136.0,+39 0512093290,+39 0512093296,carlomassimo.carlino@mail.ing.unibo.it,,44.4882503,11.3282958
Biblioteca del Dipartimento di farmacologia dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di farmacologia,Universita' statali,Via Irnerio 48,,40126.0,+39 0512091780,+39 051248862,grazia@cib.unibo.it,,44.4985616,11.3550145
Biblioteca del Dipartimento di economia e ingegneria agrarie. Sezione di estimo rurale e contabilità dell'Università degli studi di Bologna,Istituto di insegnamento superiore,Università degli studi di Bologna. Dipartimento di economia e ingegneria agrarie,Universita' statali,Via Filippo Re 10,,40126.0,+39 0512091620,+39 051252187,sorenti@cib.unibo.it,http://www.agrsci.unibo.it/estimo,44.4995282,11.3546173
Biblioteca comunale,Pubblica,Comune di Borgo Tossignano,Comune,Via della Resistenza 17,,40021.0,+39 054290220,+39 054294414,biblioborgo@fastmail.it,http://www.imola.queen.it/citta/borgotossignano,44.2767299,11.5912727
Biblioteca comunale Augusto Majani-Nasica,Pubblica,Comune di Budrio,Comune,Via G. Garibaldi 39,,40054.0,+39 051801220,+39 051808106,biblioteca@comune.budrio.bo.it,http://www.comune.budrio.bo.it,44.5375349,11.5375219
Biblioteca comunale Biblioreno,Pubblica,Comune di Calderara di Reno,Comune,Via Roma 27,,40012.0,+39 0516461247,,biblioreno@calderara.provincia.bo.it,,44.5627199,11.2708726
Biblioteca comunale Paolo Guidotti,Pubblica,Comune di Camugnano,Comune,Piazza Kennedy 1,,40032.0,+39 053441711,+39 053446827,ut.camugnano@casea.org,http://www.appenninobolognese.it/camugnano,44.1690331,11.0877647
Biblioteca comunale,Pubblica,Comune di Casalfiumanese,Comune,Viale A. Costa 27,,40020.0,+39 0542668035,+39 0542666251,urp@casalfiumanese.provincia.bologna.it,,44.298393,11.6188984
Biblioteca comunale,Pubblica,Comune di Castel d'Aiano,Comune,Piazza N. Levera 12,,40034.0,+39 051914103,+39 051914818,,,44.2804291,11.0015161
Biblioteca comunale,Pubblica,Comune di Castel del Rio,Comune,Piazza Repubblica 96,,40022.0,+39 054295906,+39 054295313,,,44.2133187,11.5047178
Biblioteca comunale,Pubblica,Comune di Castel Guelfo di Bologna,Comune,Viale 2 Giugno 4/b,,40023.0,+39 054253460,+39 054253082,bc@castelguelfo.provincia.bologna.it,,44.4318966,11.67619
Biblioteca comunale Raffaele Orsi,Pubblica,Comune di Castello d'Argile,Comune,"Via G. Matteotti, 150",,40050.0,+39 051 6868882,+39 051 6868810,biblioteca.ca@renogalliera.it,http://www.bibliotecheassociate.it/biblioteche-associate/castello-dargile/,44.6818439504299,11.2959249656067
Biblioteca comunale di Castelletto,Pubblica,Comune di Valsamoggia,Comune,Via S. Apollinare 1352,Castelletto,40050.0,+39 0516710728,+39 0516704232,cultura@comune.castellodiserravalle.bo.it,http://www.comune.valsamoggia.bo.it/,44.4407691,11.0654949
Biblioteca comunale,Pubblica,Comune di Castiglione dei Pepoli,Comune,Piazza della Libertà 1,,40035.0,+39 0534801625,+39 0534801700,biblio.pepoli@cosea.org,,44.1669822,11.2155652
Biblioteca comunale di Crespellano,Pubblica,Comune di Valsamoggia,Comune,Piazza della Pace 11,,40056.0,+39 0516723059,+39 051960535,bibliocrespo@libero.it,http://www.comune.valsamoggia.bo.it/,44.5141976,11.1291706
Biblioteca comunale,Pubblica,Comune di Crevalcore,Comune,Via Persicetana 226,,40014.0,+39 051981594,+39 0516803580,biblioteca@crevalcore.provincia.bologna.it,http://www.comune.bologna.it/iperbole/comcre,44.7107384,11.1504183
Biblioteca comunale di Toscanella di Dozza,Pubblica,Comune di Dozza,Comune,Piazza A. Gramsci 14,Toscanella di Dozza,40060.0,+39 0542673564,+39 0542678270,biblioteca@comune.dozza.bo.it,http://www.comune.dozza.bo.it,44.3839307,11.6370327
Biblioteca comunale,Pubblica,Comune di Fontanelice,Comune,Piazza Roma 23,,40025.0,+39 054292824,+39 054293528,bibliofont@tiscalinet.it,,44.2600499,11.5598479
Biblioteca comunale,Pubblica,Comune di Gaggio Montano,Comune,Via A. Brasa 3,,40041.0,+39 053437664,+39 053438017,omccecchelli@libero.it,http://www.gentedigaggio.com,44.1985767,10.9348585
Biblioteca comunale G. Zangrandi di San Venanzio di Galliera,Pubblica,Comune di Galliera,Comune,Piazza Eroi della libertà 1,San Venanzio di Galliera,40015.0,+39 051815442,+39 051815560,bibliogal@inwind.it,,44.744794,11.436013
Biblioteca comunale. Sala di lettura di Ponte della Venturina,Pubblica,Comune di Granaglione,Comune,Via Ponte della Venturina 199/7,Ponte della Venturina,40045.0,+39 053462121,,,,44.1089189,10.9467939
Biblioteca comunale. Centro di documentazione Giorgio Morandi,Pubblica,Comune di Grizzana Morandi,Comune,Località Campiano 112 a/b,,40030.0,+39 0516730007,+39 051913014,ut.grizzana@cosea.org,http://www3.provincia.bologna/appenninobolognese.it,44.2825738,11.100521
Biblioteca del Seminario diocesano,Specializzata,Diocesi di Imola,Enti ecclesiastici,"Via Montericco, 5/a",,40026.0,+39 0542.40256,+39 0542.40996,biblioteca@seminariodiocesanoimola.it,http://www.seminariodiocesanoimola.it/biblioteca.htm,44.3495695,11.6820462
Biblioteca comunale,Pubblica,Comune di Imola,Comune,Via Emilia 80,,40026.0,+39 0542602696,+39 0542602602,bim@comune.imola.bo.it,http://www.bim.comune.imola.bo.it,44.3536525,11.7136724
Biblioteca di Palazzo Tozzoni,Pubblica,Comune di Imola,Comune,Via Garibaldi 18,,40026.0,+39 0542602609,+39 0542602608,musei@comune.imola.bo.it,http://www.comune.imola.bo.it,44.3534527,11.7102776
Biblioteca comunale,Pubblica,Comune di Loiano,Comune,Via Roma 55,,40050.0,+39 0516543617,+39 0516545246,biblio@comune.loiano.bologna.it,,44.2701055,11.3220424
Biblioteca comunale,Pubblica,Comune di Malalbergo,Comune,Piazza Caduti della Resistenza 1,,40058.0,+39 0516620280,+39 0516620281,biblioteca@comune.malalbergo.bo.it,http://www.comune.malalbergo.bo.it/comune/ufficio.aspx?ID=1&q=20,44.7190136,11.5315677
Biblioteca comunale,Pubblica,Comune di Marzabotto,Comune,Piazza Matteotti 1,,40043.0,+39 051932907,+39 051931350,bibliotecamarzabotto@libero.it,,44.3429229,11.2065541
Biblioteca comunale,Pubblica,Comune di Medicina,Comune,Via Pillio 1,,40059.0,+39 0516979209,+39 0516979321,serviziculturali@comune.medicina.bo.it,http://www.comune.medicina.bo.it/moduli/ufficio.aspx?ID=1&q=20,44.4763918,11.6394739
Biblioteca comunale Prometeo,Pubblica,Comune di Minerbio,Comune,Via don C. Zamboni 5,,40061.0,+39 051878337,+39 051876144,biblio.minerbio@mbox.queen.it,,44.6203119,11.4899266
Biblioteca comunale Bjornsterne Bjornson,Pubblica,Comune di Monterenzio,Comune,Via Idice 235,,40050.0,+39 051929002,+39 051929292,biblioteca@comune.monterenzio.bologna.it,http://www.comune.monterenzio.bologna.it/cultura/fr-cult-biblioteca.htm,44.295199,11.3975
Biblioteca comunale Mario Marri,Pubblica,Comune di Monzuno,Comune,Via Luigi Casaglia 1,,40036.0,+39 0516770307,+39 0516770307,bibliomonzuno@comune.monzuno.bologna.it,,44.2780376,11.2711708
Biblioteca comunale,Pubblica,Comune di Mordano,Comune,Via Borgo general Vitali 12,,40027.0,+39 054252510,+39 054252510,bibliomordano@yahoo.com,,44.3972419,11.8118261
Biblioteca comunale 8 Marzo 1908,Pubblica,Comune di Ozzano dell'Emilia,Comune,"Piazza Allende, 18",,40064.0,+39 051790130,+39 0516521365,biblioteca@comune.ozzano.bo.it,,44.4427151,11.4759926
Biblioteca comunale,Pubblica,Comune di Pieve di Cento,Comune,Piazza A. Costa 10,,40066.0,+39 051975533,+39 051975533,urp.pieve@provincia.bologna.it,,44.7138528,11.306861
Biblioteca comunale,Pubblica,Comune di Porretta Terme,Comune,"Via Roma, 32",,40046.0,+39 0534 24205,+39 0534 24072,biblio@comune.porrettaterme.bo.it,http://www.comune.porrettaterme.bo.it/albo/index.php?option=com_content&view=article&id=159:biblioteca-comunale&catid=40:uffici-comunali-e-modulistica&Itemid=74,44.1518836,10.9804275
Biblioteca comunale di Padulle,Pubblica,Comune di Sala Bolognese,Comune,Via della Pace 33,Padulle,40010.0,+39 051829001,,,,44.6296623,11.2763898
Biblioteca comunale Luigi Arbizzani,Pubblica,Comune di San Giorgio di Piano,Comune,Piazza Indipendenza 1,,40016.0,+39 051893450,+39 0516638525,biblioteca@comune.san-giorgio-di-piano.bo.it,,44.6464326,11.3756719
Biblioteca comunale Giulio Cesare Croce,Pubblica,Comune di San Giovanni in Persiceto,Comune,Piazza Garibaldi 7,,40017.0,+39 0516812961,+39 051827017,BiblioCroce@comunepersiceto.it,,44.6376266,11.1880915
Biblioteca capitolare,Specializzata,Capitolo della Collegiata. Cattedrale di S. Giovanni Battista di San Giovanni in Persiceto,Enti ecclesiastici,Piazza Garibaldi 3,,40017.0,+39 051825283,+39 051824151,parrocchiapersiceto@tin.it,,44.6376266,11.1880915
Biblioteca comunale Mario Luzi,Pubblica,Comune di San Pietro in Casale,Comune,Via G. Matteotti 123,,40018.0,+39 0516669536,,biblioteca@comune.san-pietro-in-casale.bo.it,http://www.comune.san-pietro-in-casale.bo.it/biblio.htm,44.7030171,11.4064872
Biblioteca comunale,Pubblica,Comune di Sant'Agata Bolognese,Comune,Via Circondaria Est 23,,40019.0,+39 051957720,+39 051956805,biblioteca@comune.santagatabolognese.bo.it,,44.6634504,11.1352113
Biblioteca comunale di Savigno,Pubblica,Comune di Valsamoggia,Comune,Via Marconi 63,,40060.0,+39 051/6708749,,biblioteca.savigno@comune.valsamoggia.bo.it,http://www.comune.valsamoggia.bo.it/,44.3875686,11.0736064
Biblioteca comunale Paolo Guidotti,Pubblica,Comune di Vergato,Comune,Galleria 1° Maggio 86/a,,40038.0,+39 051910559,+39 051912034,biblioteca@comune.vergato.bo.it,http://www.comune.vergato.bo.it,44.2828217,11.1115607
Biblioteca del Museo della civiltà contadina,Specializzata,Comune di Bentivoglio,Comune,Via S. Marino 35,San Marino di Bentivoglio,40010.0,+39 051891050,+39 051898377,smeraldi@provincia.bo.it,http://www.provincia.bologna.it/cultura/vsmeraldi/,44.5869212,11.4270635
Biblioteca comunale. Sala di lettura di Osteria Grande,Pubblica,Comune di Castel San Pietro Terme,Comune,Via Broccoli 41,Osteria Grande,40060.0,+39 051945413,+39 051940064,bibliotecaosteria@cspietro.it,,44.425598,11.519348
Biblioteca comunale. Sala di lettura di Palata Pepoli,Pubblica,Comune di Crevalcore,Comune,Via Provanone 4964,Palata Pepoli,40014.0,+39 051985152,,,,44.792253,11.2325882
Biblioteca dell'Associazione privata Rugletto dei Belvederiani,Specializzata,Associazione privata Rugletto dei Belvederiani,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Piazza Betti 1,,40042.0,+39 053451025,,,,44.163489,10.8677256
Biblioteca comunale Lionello Bertacci,Pubblica,Comune di Castel di Casio,Comune,Via Vittorio Veneto 10,,40030.0,+39 053444133,+39 053444286,,,44.1626769,11.0370341
Biblioteca comunale Cesare Pavese,Pubblica,Comune di Casalecchio di Reno,Comune,Via Porrettana 360,,40033.0,+39 051598300,+39 051598200,biblioteca@comune.casalecchio.bo.it,http://www.casalecchiodelleculture.it,44.4782538,11.2774988
Biblioteca comunale Natalia Ginzburg,Pubblica,Comune di Castel Maggiore,Comune,Via Bondanello 30,,40013.0,+39 051713017,+39 0516321195,biblioteca@comune.castel-maggiore.bo.it,,44.5786239,11.359249
Biblioteca comunale,Pubblica,Comune di Castel San Pietro Terme,Comune,Via Matteotti 75,,40024.0,+39 051940064,+39 0516949573,biblioteca@cspietro.provincia.bo.it,,44.399072,11.5905481
Biblioteca comunale Sasso Morelli,Pubblica,Comune di Imola,Comune,Via Correcchio 142,Sasso Morelli,40026.0,+39 054255394,,,,44.4103576,11.7316651
Biblioteca comunale. Sala di lettura di Sesto Imolese,Pubblica,Comune di Imola,Comune,Via S. Vitale 125,Sesto Imolese,40060.0,+39 054276121,+39 054276121,bib.sesto@comune.imola.bo.it,,44.4605399,11.7598875
Biblioteca comunale. Sala di lettura di Ponticelli,Pubblica,Comune di Imola,Comune,Via Montanara 252/c,Ponticelli,40026.0,+39 0542684766,+39 0542698203,,,44.3249367,11.6603834
Biblioteca comunale di Calderino,Pubblica,Comune di Monte San Pietro,Comune,Piazza della Pace 4,Calderino,40050.0,+39 0516764437,+39 0516764455,bibliotecamsp@iol.it,,44.4575793,11.1996735
Biblioteca comunale Mauro Zagnoni di Monteveglio,Pubblica,Comune di Valsamoggia,Comune,Piazza Libertà 12,,40050.0,+39 0516702739,+39 0516702367,biblioteca@comune.monteveglio.bo.it,http://www.comune.valsamoggia.bo.it/,44.4704971,11.1006632
